"subject_id","story","relationship","next_interaction","likert_rating"
"08242f49f6588339ce37c66847074815","family meals","no_info","alternating",5
"08242f49f6588339ce37c66847074815","family meals","no_info","none",1
"08242f49f6588339ce37c66847074815","architects","no_info","repeating",6
"08242f49f6588339ce37c66847074815","architects","no_info","alternating",6
"08242f49f6588339ce37c66847074815","architects","no_info","none",3
"08242f49f6588339ce37c66847074815","gifts","asymmetric","repeating",4
"08242f49f6588339ce37c66847074815","gifts","asymmetric","alternating",4
"08242f49f6588339ce37c66847074815","gifts","asymmetric","none",3
"08242f49f6588339ce37c66847074815","concerts","symmetric","repeating",2
"08242f49f6588339ce37c66847074815","concerts","symmetric","alternating",6
"08242f49f6588339ce37c66847074815","concerts","symmetric","none",2
"08242f49f6588339ce37c66847074815","groceries","asymmetric","repeating",4
"08242f49f6588339ce37c66847074815","groceries","asymmetric","alternating",4
"08242f49f6588339ce37c66847074815","groceries","asymmetric","none",4
"08242f49f6588339ce37c66847074815","restaurant","asymmetric","repeating",4
"08242f49f6588339ce37c66847074815","restaurant","asymmetric","alternating",4
"08242f49f6588339ce37c66847074815","restaurant","asymmetric","none",4
"08242f49f6588339ce37c66847074815","scheduling","symmetric","repeating",2
"08242f49f6588339ce37c66847074815","scheduling","symmetric","alternating",6
"08242f49f6588339ce37c66847074815","scheduling","symmetric","none",2
"08242f49f6588339ce37c66847074815","babysitting","no_info","repeating",6
"08242f49f6588339ce37c66847074815","babysitting","no_info","alternating",2
"08242f49f6588339ce37c66847074815","babysitting","no_info","none",5
"08242f49f6588339ce37c66847074815","group project","symmetric","repeating",5
"08242f49f6588339ce37c66847074815","group project","symmetric","alternating",5
"08242f49f6588339ce37c66847074815","group project","symmetric","none",6
"08242f49f6588339ce37c66847074815","meeting prep","asymmetric","repeating",6
"08242f49f6588339ce37c66847074815","meeting prep","asymmetric","alternating",2
"08242f49f6588339ce37c66847074815","meeting prep","asymmetric","none",2
"08242f49f6588339ce37c66847074815","fundraising","symmetric","repeating",5
"08242f49f6588339ce37c66847074815","fundraising","symmetric","alternating",5
"08242f49f6588339ce37c66847074815","fundraising","symmetric","none",5
"08242f49f6588339ce37c66847074815","police","no_info","repeating",2
"08242f49f6588339ce37c66847074815","police","no_info","alternating",6
"08242f49f6588339ce37c66847074815","police","no_info","none",5
"08242f49f6588339ce37c66847074815","conversation","symmetric","repeating",6
"08242f49f6588339ce37c66847074815","conversation","symmetric","alternating",6
"08242f49f6588339ce37c66847074815","conversation","symmetric","none",6
"08242f49f6588339ce37c66847074815","feedback","no_info","repeating",6
"08242f49f6588339ce37c66847074815","feedback","no_info","alternating",6
